objectid,incident_number,call_type,call_time,race,gender,age,stop_type,stop_outcome,veh_state,count_tickets,count_warnings,search,search_type,contraband,viol_dui,arrest
29404,21BU003148,Traffic,2021/03/13 14:40:00+00,White,Male - M,38.0,M = Moving violation,4,CT,2,0,0,NS = No search,0,0,none
29554,21BU020331,Traffic,2021/12/07 14:51:00+00,White,Male - M,21.0,M = Moving violation,5,CT,0,1,0,NS = No search,0,0,none
29577,21BU020318,Traffic,2021/12/07 12:26:00+00,Black,Male - M,25.0,M = Moving violation,5,CT,0,1,0,NS = No search,0,0,none
29804,21BU004679,Traffic,2021/04/11 13:53:00+00,White,Male - M,19.0,M = Moving violation,4,CT,1,0,0,NS = No search,0,0,none
29884,21BU005412,Traffic,2021/04/25 00:43:00+00,White,Male - M,20.0,I = Investigatory,5,WA,0,1,0,NS = No search,0,0,none
30104,21BU016285,Traffic,2021/09/29 11:43:00+00,White,Male - M,59.0,M = Moving violation,5,MA,0,1,0,NS = No search,0,0,none
30110,21BU006211,Traffic,2021/05/09 18:48:00+00,Asian,Male - M,54.0,M = Moving violation,4,VT,1,0,0,NS = No search,0,0,none
30119,21BU017178,Traffic,2021/10/12 12:52:00+00,White,Male - M,21.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
30126,21BU004662,Traffic,2021/04/11 01:21:00+00,White,Male - M,22.0,V = Vehicle Equipment,5,MD,0,2,0,NS = No search,0,0,none
30127,21BU003448,Traffic,2021/03/19 23:18:00+00,White,Male - M,55.0,M = Moving violation,5,MA,0,1,0,NS = No search,0,0,none
30171,21BU003919,Traffic,2021/03/28 21:54:00+00,White,Male - M,73.0,M = Moving violation,5,MA,0,1,0,NS = No search,0,0,none
30219,21BU011264,Traffic,2021/07/22 08:41:00+00,White,Male - M,35.0,V = Vehicle Equipment,5,VT,0,1,0,NS = No search,0,0,none
30244,21BU015746,Traffic,2021/09/21 18:17:00+00,White,Male - M,19.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
